               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1045,            0.027791,            0.071879,           0.0042748,              0.1702,           0.0034997,          0.00066036,            0.069816,            0.017478,            0.046008,              0.0946,              0.0006,              0.0006
                   1,            0.086582,            0.028564,            0.065286,            0.012842,             0.57143,            0.018167,           0.0055366,            0.047388,             0.01873,            0.043266,            0.088236,           0.0012356,           0.0012356
                   2,            0.063642,            0.028243,            0.051968,            0.013276,             0.71429,            0.035212,            0.011833,            0.037656,            0.018792,            0.038229,            0.081802,            0.001802,            0.001802
                   3,            0.057918,            0.027957,            0.049373,             0.90522,             0.12836,             0.37904,             0.10049,            0.035487,            0.017332,            0.032119,            0.075299,            0.002299,            0.002299
                   4,             0.06222,             0.02736,            0.045442,              0.7855,                0.18,             0.45556,             0.14215,            0.034185,            0.015431,              0.0297,            0.068727,           0.0027268,           0.0027268
                   5,            0.055401,            0.027112,            0.037076,             0.83723,             0.39367,             0.63962,             0.16684,            0.036108,            0.013643,            0.026738,            0.062085,           0.0030852,           0.0030852
                   6,            0.057599,            0.021814,            0.036336,             0.19599,             0.96939,             0.42206,             0.12783,             0.03976,            0.012148,            0.025642,            0.055374,           0.0033744,           0.0033744
                   7,            0.053886,            0.022341,            0.030015,             0.14529,             0.93878,             0.17915,            0.048574,            0.046289,            0.011062,            0.023874,            0.048594,           0.0035943,           0.0035943
                   8,            0.062567,            0.019303,            0.030747,             0.14054,             0.46286,             0.16015,             0.04071,            0.045892,           0.0098137,            0.020048,            0.041745,           0.0037448,           0.0037448
                   9,            0.052689,            0.019988,            0.024166,             0.28698,             0.77776,              0.3604,             0.10346,            0.045632,            0.009016,             0.01941,            0.034826,           0.0038261,           0.0038261
                  10,            0.053404,            0.019859,             0.02738,              0.2711,             0.56429,             0.33419,             0.10163,            0.045362,           0.0079764,            0.018712,            0.027838,            0.003838,            0.003838
                  11,            0.058933,            0.018838,            0.026976,             0.48547,             0.90959,             0.60586,             0.21465,            0.027974,           0.0089419,             0.01706,            0.020781,           0.0037807,           0.0037807
                  12,            0.045769,            0.017222,            0.023025,               0.325,             0.64531,             0.40413,             0.16878,            0.039517,           0.0079381,            0.016388,            0.013654,            0.003654,            0.003654
                  13,            0.057015,            0.018557,            0.028203,             0.41076,             0.78907,             0.56438,             0.25303,            0.028648,           0.0084281,             0.01488,            0.006458,            0.003458,            0.003458
                  14,             0.05068,            0.019114,            0.023915,             0.50931,             0.81653,             0.71158,             0.33179,            0.025491,           0.0085767,            0.014404,             0.00307,             0.00307,             0.00307
                  15,            0.056119,            0.019171,            0.026627,             0.60528,             0.86755,             0.72482,             0.30164,            0.028773,           0.0083741,             0.01376,             0.00307,             0.00307,             0.00307
                  16,            0.045317,            0.017664,            0.021751,             0.53741,             0.85345,              0.7467,             0.30599,             0.02602,           0.0080898,            0.013403,            0.002575,            0.002575,            0.002575
                  17,            0.050096,            0.018684,            0.020831,             0.51819,             0.83735,             0.70295,             0.32739,            0.025264,           0.0078962,            0.012147,             0.00208,             0.00208,             0.00208
                  18,            0.041568,            0.017193,            0.018836,             0.71686,             0.80798,             0.88016,             0.45327,            0.024103,           0.0076212,            0.011291,            0.001585,            0.001585,            0.001585
                  19,            0.043372,            0.017523,            0.022584,             0.85926,             0.90878,             0.95619,             0.56913,            0.020598,           0.0075192,            0.010925,             0.00109,             0.00109,             0.00109
